Time,11.1.2.20:3306
2025/5/27 08:39,0.0942
2025/5/27 08:39,0.0975
2025/5/27 08:39,0.0983
2025/5/27 08:39,0.0959
2025/5/27 08:40,0.097
2025/5/27 08:40,0.0957
2025/5/27 08:40,0.0933
2025/5/27 08:40,0.0979
2025/5/27 08:41,0.097
2025/5/27 08:41,0.0944
2025/5/27 08:41,0.094
2025/5/27 08:41,0.0911
2025/5/27 08:42,0.0933
2025/5/27 08:42,0.0941
2025/5/27 08:42,0.0946
2025/5/27 08:42,0.0959
2025/5/27 08:43,0.0924
2025/5/27 08:43,0.092
2025/5/27 08:43,0.0924
2025/5/27 08:43,0.0918
2025/5/27 08:44,0.0926
2025/5/27 08:44,0.0924
2025/5/27 08:44,0.0929
2025/5/27 08:44,0.095
2025/5/27 08:45,0.0957
2025/5/27 08:45,0.097
2025/5/27 08:45,0.0972
2025/5/27 08:45,0.0959
2025/5/27 08:46,0.0967
2025/5/27 08:46,0.0947
2025/5/27 08:46,0.094
2025/5/27 08:46,0.0961
2025/5/27 08:47,0.0951
2025/5/27 08:47,0.0967
2025/5/27 08:47,0.0963
2025/5/27 08:47,0.0952
2025/5/27 08:48,0.0953
2025/5/27 08:48,0.0952
2025/5/27 08:48,0.096
2025/5/27 08:48,0.0954
2025/5/27 08:49,0.0957
2025/5/27 08:49,0.0967
2025/5/27 08:49,0.0962
2025/5/27 08:49,0.0973
2025/5/27 08:50,0.0974
2025/5/27 08:50,0.0986
2025/5/27 08:50,0.103
2025/5/27 08:50,0.1
2025/5/27 08:51,0.0999
2025/5/27 08:51,0.0975
2025/5/27 08:51,0.0942
2025/5/27 08:51,0.0933
2025/5/27 08:52,0.093
2025/5/27 08:52,0.094
2025/5/27 08:52,0.0948
2025/5/27 08:52,0.0965
2025/5/27 08:53,0.0973
2025/5/27 08:53,0.0983
2025/5/27 08:53,0.0976
2025/5/27 08:53,0.0966
2025/5/27 08:54,0.0957
2025/5/27 08:54,0.0945
2025/5/27 08:54,0.0939
2025/5/27 08:54,0.0945
2025/5/27 08:55,0.0969
2025/5/27 08:55,0.0971
2025/5/27 08:55,0.0965
2025/5/27 08:55,0.0983
2025/5/27 08:56,0.0953
2025/5/27 08:56,0.0971
2025/5/27 08:56,0.0966
2025/5/27 08:56,0.095
2025/5/27 08:57,0.0956
2025/5/27 08:57,0.0933
2025/5/27 08:57,0.0945
2025/5/27 08:57,0.0937
2025/5/27 08:58,0.0956
2025/5/27 08:58,0.096
2025/5/27 08:58,0.0958
2025/5/27 08:58,0.0993
2025/5/27 08:59,0.0999
2025/5/27 08:59,0.0999
